"","Country","Unit","Period","Value"
"1","France","PC",2019 Q2,1.01613867304244
"2","France","PC",2019 Q3,0.236686390532561
"3","France","PC",2019 Q4,0.649350649350645
"4","France","PC",2020 Q1,-5.19061583577714
"5","France","PC",2020 Q2,-6.24806681101145
"6","France","PC",2020 Q3,15.3084790498185
"7","Germany","PC",2019 Q2,0.12088244182533
"8","Germany","PC",2019 Q3,0.784787201931769
"9","Germany","PC",2019 Q4,0.209643605870025
"10","Germany","PC",2020 Q1,0.478182904961149
"11","Germany","PC",2020 Q2,0.65437239738253
"12","Germany","PC",2020 Q3,3.90070921985813
"13","Japan","PC",2019 Q2,-0.00348635721661855
"14","Japan","PC",2019 Q3,3.22529366372108
"15","Japan","PC",2019 Q4,-6.89494377444589
"16","Japan","PC",2020 Q1,1.80207960296069
"17","Japan","PC",2020 Q2,-7.28551102623456
"18","Japan","PC",2020 Q3,8.24794563419012
"19","GBR","PC",2019 Q2,0.22712524334848
"20","GBR","PC",2019 Q3,0.679831660731622
"21","GBR","PC",2019 Q4,-1.2218649517685
"22","GBR","PC",2020 Q1,-0.781249999999999
"23","GBR","PC",2020 Q2,-7.48031496062991
"24","GBR","PC",2020 Q3,15.4255319148936
"25","Brazil","PC",2019 Q2,-0.105857445306979
"26","Brazil","PC",2019 Q3,1.6955139526669
"27","Brazil","PC",2019 Q4,0.972559916637725
"28","Brazil","PC",2020 Q1,-1.92638458892331
"29","Brazil","PC",2020 Q2,-8.4882497369344
"30","Brazil","PC",2020 Q3,17.2479877347643
"31","France","PC",2019 Q2,2.95461468169356
"32","France","PC",2019 Q3,2.66666666666669
"33","France","PC",2019 Q4,2.55639097744361
"34","France","PC",2020 Q1,-3.3771667662881
"35","France","PC",2020 Q2,-10.3254437869823
"36","France","PC",2020 Q3,3.15820543093268
"37","Germany","PC",2019 Q2,2.15849522047487
"38","Germany","PC",2019 Q3,3.56699751861041
"39","Germany","PC",2019 Q4,2.79569892473118
"40","Germany","PC",2020 Q1,1.60169235418555
"41","Germany","PC",2020 Q2,2.1430727437368
"42","Germany","PC",2020 Q3,5.30098831985625
"43","Japan","PC",2019 Q2,-0.0445251530898576
"44","Japan","PC",2019 Q3,2.75510652020492
"45","Japan","PC",2019 Q4,-4.69092133020693
"46","Japan","PC",2020 Q1,-2.1635012613301
"47","Japan","PC",2020 Q2,-9.28822762819533
"48","Japan","PC",2020 Q3,-4.87444834913369
"49","GBR","PC",2019 Q2,3.27649615513207
"50","GBR","PC",2019 Q3,2.64026402640264
"51","GBR","PC",2019 Q4,1.08588351431391
"52","GBR","PC",2020 Q1,-1.10317975340689
"53","GBR","PC",2020 Q2,-8.70831984460991
"54","GBR","PC",2020 Q3,4.66237942122187
"55","Brazil","PC",2019 Q2,0.212389380530981
"56","Brazil","PC",2019 Q3,2.30987917555082
"57","Brazil","PC",2019 Q4,3.23153409090912
"58","Brazil","PC",2020 Q1,0.599858856739585
"59","Brazil","PC",2020 Q2,-7.84175203108442
"60","Brazil","PC",2020 Q3,6.25217089267106
"61","OECD","PC",2019 Q2,1.68596835408404
"62","OECD","PC",2019 Q3,2.33038087478521
"63","OECD","PC",2019 Q4,1.39603688416809
"64","OECD","PC",2020 Q1,-0.605819675590118
"65","OECD","PC",2020 Q2,-6.65830573814656
"66","OECD","PC",2019 Q2,0.755500819102944
"67","OECD","PC",2019 Q3,0.715155138404276
"68","OECD","PC",2019 Q4,-0.497174516166424
"69","OECD","PC",2020 Q1,-1.56218815657772
"70","OECD","PC",2020 Q2,-5.37988117653439
